"Time [s]","Committed size","Free size","Used size"
0.0,258048000,251149000,6899000
1.0,258048000,251149000,6899000
2.01,258048000,251149000,6899000
3.01,258048000,251149000,6899000
4.01,258048000,161123000,96925000
5.01,258048000,215428000,42620000
6.01,372736000,273838000,98898000
7.01,372736000,266311000,106425000
8.01,372736000,239873000,132863000
9.01,372736000,219416000,153320000
10.01,372736000,188945000,183791000
11.01,372736000,162009000,210727000
12.02,309248000,201592000,107656000
13.02,309248000,244673000,64575000
14.02,145408000,77049000,68359000
15.02,308224000,204759000,103465000
16.02,308224000,198464000,109760000
17.02,308224000,214155000,94069000
18.02,308224000,241716000,66508000
19.02,308224000,273184000,35040000
20.02,308224000,141430000,166794000
21.02,308224000,147523000,160701000
22.02,147456000,77843000,69613000
23.02,256000000,237555000,18445000
24.02,256000000,118514000,137486000
25.02,256000000,168276000,87724000
26.02,256000000,191447000,64553000
27.03,256000000,186240000,69760000
28.03,256000000,203633000,52367000
29.03,256000000,228020000,27980000
30.03,256000000,102426000,153574000
31.03,256000000,149875000,106125000
32.03,256000000,157331000,98669000
33.03,181248000,59220000,122028000
34.03,150528000,60039000,90489000
35.03,262144000,138424000,123720000
36.03,280576000,186568000,94008000
37.03,280576000,216154000,64422000
38.03,285696000,167459000,118237000
39.03,285696000,235138000,50558000
40.03,285696000,131232000,154464000
41.03,285696000,196350000,89346000
42.03,285696000,260643000,25053000
43.03,285696000,131342000,154354000
44.04,285696000,222335000,63361000
45.04,285696000,270696000,15000000
46.04,285696000,184312000,101384000
47.04,142336000,116726000,25610000
48.04,301056000,210058000,90998000
49.04,301056000,189910000,111146000
50.04,301056000,188756000,112300000
51.04,301056000,159978000,141078000
52.04,301056000,153791000,147265000
53.04,301056000,145145000,155911000
54.04,301056000,119638000,181418000
55.04,301056000,120506000,180550000
56.04,301056000,264283000,36773000
57.04,301056000,242146000,58910000
58.04,301056000,143478000,157578000
59.04,301056000,140329000,160727000
60.04,301056000,119704000,181352000
61.04,301056000,290291000,10765000
62.04,301056000,247709000,53347000
63.05,301056000,239604000,61452000
64.05,301056000,206335000,94721000
65.05,301056000,232599000,68457000
66.05,301056000,229905000,71151000
67.05,301056000,217807000,83249000
68.05,301056000,232813000,68243000
69.05,301056000,201205000,99851000
70.05,301056000,197233000,103823000
71.05,301056000,169957000,131099000
72.05,301056000,148917000,152139000
73.05,301056000,288708000,12348000
74.05,301056000,123270000,177786000
75.05,301056000,274264000,26792000
76.05,301056000,202606000,98450000
77.05,301056000,205315000,95741000
78.06,301056000,186501000,114555000
79.06,292864000,212950000,79914000
80.06,292864000,163402000,129462000
81.06,292864000,245601000,47263000
82.06,292864000,198900000,93964000
83.06,292864000,139557000,153307000
84.06,292864000,260020000,32844000
85.06,292864000,180169000,112695000
86.06,292864000,281957000,10907000
87.06,275456000,184297000,91159000
88.06,330752000,257076000,73676000
89.06,330752000,236802000,93950000
90.06,330752000,188049000,142703000
91.06,330752000,147290000,183462000
92.06,262144000,120939000,141205000
93.06,262144000,191972000,70172000
94.06,262144000,235280000,26864000
95.06,262144000,143661000,118483000
96.07,262144000,198865000,63279000
97.07,262144000,109682000,152462000
98.07,262144000,158121000,104023000
99.07,262144000,223955000,38189000
100.07,315392000,284103000,31289000
101.07,315392000,179975000,135417000
102.07,315392000,236389000,79003000
103.07,228352000,104982000,123370000
104.07,329728000,156153000,173575000
105.07,329728000,214445000,115283000
106.07,329728000,272917000,56811000
107.07,329728000,216926000,112802000
108.07,329728000,182582000,147146000
109.07,329728000,134176000,195552000
110.07,329728000,274703000,55025000
111.07,329728000,235044000,94684000
112.07,329728000,187009000,142719000
113.07,329728000,163597000,166131000
114.07,329728000,311526000,18202000
115.07,329728000,300712000,29016000
116.07,312320000,259982000,52338000
117.08,312320000,137516000,174804000
118.08,312320000,201946000,110374000
119.08,312320000,272530000,39790000
120.08,312320000,130681000,181639000
121.08,312320000,186968000,125352000
122.08,312320000,231551000,80769000
123.08,312320000,297457000,14863000
124.08,312320000,157811000,154509000
125.08,312320000,216789000,95531000
126.08,312320000,196357000,115963000
127.08,312320000,252226000,60094000
128.08,312320000,114907000,197413000
129.08,312320000,157102000,155218000
130.08,312320000,240784000,71536000
131.08,312320000,115984000,196336000
132.08,312320000,162908000,149412000
133.08,312320000,221359000,90961000
134.08,312320000,116471000,195849000
135.08,312320000,175946000,136374000
136.08,312320000,237392000,74928000
137.08,312320000,294269000,18051000
138.09,312320000,172831000,139489000
139.09,312320000,235483000,76837000
140.09,312320000,125289000,187031000
141.09,312320000,181261000,131059000
142.09,312320000,226441000,85879000
143.09,312320000,286692000,25628000
144.09,312320000,131338000,180982000
145.09,312320000,181602000,130718000
146.09,284672000,134469000,150203000
147.09,284672000,200149000,84523000
148.09,284672000,254313000,30359000
149.09,284672000,133102000,151570000
150.09,284672000,133019000,151653000
151.09,284672000,132939000,151733000
152.09,284672000,132859000,151813000
153.09,284672000,132779000,151893000
154.1,284672000,132700000,151972000
155.1,284672000,132617000,152055000
156.1,284672000,132537000,152135000
157.1,284672000,132457000,152215000
158.1,284672000,132377000,152295000
159.1,284672000,132297000,152375000
160.1,284672000,132215000,152457000
161.1,284672000,132135000,152537000
